Economy,value_2021,value_2021_perc,country_text_id,country_id,year,v2x_libdem,v2x_egaldem,v2clkill,v2cldiscm,v2cldiscw,v2cseeorgs,v2csreprss,v2csantimv,v2csanmvch_0,v2csanmvch_1,v2csanmvch_2,v2csanmvch_3,v2csanmvch_4,v2csanmvch_5,v2csanmvch_6,v2csanmvch_7,v2csanmvch_8,v2csanmvch_9,v2csanmvch_10,v2csanmvch_11,v2csanmvch_12,v2mecenefi,v2meharjrn,v2smgovdom,v2smgovfilcap,v2smgovfilprc,v2smgovshutcap,v2smgovshut,v2smgovsm,v2smgovsmmon,v2smgovsmcenprc,v2smonex,v2smorgavgact,v2smorgelitact,v2smorgtypes_0,v2smorgtypes_1,v2smorgtypes_2,v2smorgtypes_3,v2smorgtypes_4,v2smorgtypes_5,v2smorgtypes_6,v2smorgtypes_7,v2smorgtypes_8,v2smorgtypes_9,v2smarrest,v2smpolsoc
Sudan,NA,NA,SDN,33,2021,0.074,0.101,-1.012,-0.121,-0.311,-0.353,-0.194,1.849,0.5,0.5,0.5,0.5,1,0,0.25,0,0,0,0.25,0,0,-1.007,-0.243,-1.386,0.409,-2.05,-0.036,-2.65,-2.722,-1.358,-0.85,0.238,0.396,1.139,0.25,0.5,1,0.5,0,0.25,0.25,0.5,0.25,0.25,-1.025,-1.86
Afghanistan,NA,NA,AFG,36,2021,0.043,0.082,-1.573,-0.988,-1.173,-0.611,-0.729,-1.137,0.5,0.5,1,1,0.5,0.5,0,0,0.5,0,1,0,0.5,-1.005,-1.476,-1.833,-0.215,-0.999,-0.965,0.278,-0.666,-1.024,0.479,-0.334,1.885,1.298,0.667,0.333,1,1,0.333,0.667,0,0.667,0.333,0,-2.055,-2.494
North Korea,NA,NA,PRK,41,2021,0.014,0.085,-2.15,-3.25,-2.784,-2.283,-3.759,-2.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.102,-2.96,-2.734,2.628,-3.898,2.131,-4.169,-3.98,-3.702,-4.901,-2.238,-3.545,-3.57,0,0,0,0,0,0,0,0,0,1,-2.949,4.326
South Korea,NA,NA,KOR,42,2021,0.788,0.754,2.669,2.663,2.68,1.152,2.609,-1.248,0.6,0.8,0.4,0,0.6,0.6,0.8,1,0,0,0.2,0,0,0.145,2.399,1.91,1.643,1.252,1.204,1.957,1.204,1.566,1.709,2.617,2.751,2.321,1,1,1,1,0.125,0,0,0,0,0,2.376,-1.221
Kosovo,NA,NA,XKX,43,2021,0.445,0.427,2.522,1.706,1.579,1.646,1.398,-0.622,0.25,0.5,0.125,0,0.375,0.125,0,0.125,0,0.125,0.25,0.125,0,1.34,1.063,-0.517,-0.82,1.346,-1.306,1.343,1.171,-0.655,0.839,1.381,-0.114,-0.205,0.75,0.75,1,0.625,0.125,0,0.125,0,0,0,1.558,0.727
Venezuela,NA,NA,VEN,51,2021,0.064,0.122,-0.16,-0.749,-0.692,-0.552,-1.008,0.56,0.636,0.364,0.455,0.091,0.545,0.091,0.182,0.273,0,0,0.091,0,0.091,-1.154,-0.641,-3.64,2.018,-2.101,0.824,-1.751,-1.099,-2.738,-0.949,0.33,1.39,2.14,0.4,0.9,0.9,0.5,0.1,0.3,0,0,0,0.2,-1.073,-1.749
Sierra Leone,NA,NA,SLE,95,2021,0.426,0.403,1.728,1.385,1.59,2.103,2.077,-1.056,0.333,0.333,0.667,0,0,0.667,0,0,0.667,0,0,0,0,0.866,0.968,-0.234,-0.881,0.93,0.994,0.369,1.234,0.948,0.82,-0.144,-0.415,0.631,0.375,0.75,0.5,0.5,0,0,0,0,0.125,0,0.212,-0.616
Syria,NA,NA,SYR,97,2021,0.036,0.058,-1.749,-2.247,-2.465,-2.902,-2.413,0.274,0.167,0.167,0.5,0.333,0.667,0.333,0.5,0.5,0.5,0.667,0.833,0.5,0.5,-2.797,-1.614,-3.066,1.626,-2.926,1.662,-1.851,-0.923,-2.851,-1.68,-1.104,1.189,0.824,0.556,0.667,0.778,0.222,0.333,0.333,0.111,0.444,0.111,0,-2.251,-1.378
Republic of the Congo,NA,NA,COG,112,2021,0.108,0.134,-1.936,-2.109,-2.447,-0.915,-1.105,0.662,0.2,0.6,0.8,0.4,0.4,0,0,0,0.4,0,0.2,0.2,0.2,-1.486,0.347,-1.025,1.944,-1.876,1.102,-1.01,-0.592,-1.069,-1.081,-0.322,-0.412,0.632,0.4,0.8,0.6,0.6,0.2,0.2,0.2,0,0.2,0,-1.709,0.198
Libya,NA,NA,LBY,124,2021,0.144,0.162,-1.454,0.008,-0.637,1.663,1.137,1.103,0.286,0.429,0.429,0.571,0.143,0.429,0,0.143,0.429,0.429,0.571,0.143,0.429,0.616,-0.106,-0.704,-1.771,1.187,-1.012,-0.054,0.131,0.638,0.219,0.019,0.628,0.331,0.571,0.714,0.857,0.571,0.429,0.429,0.286,0.286,0.143,0,0.237,-1.534
Palestine/West Bank,NA,NA,PSE,128,2021,0.144,0.196,0.455,0.174,0.337,1.353,0.55,0.765,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,-0.299,-0.641,0.742,0.303,0.474,-0.292,0.881,1.677,-0.951,0.017,-0.123,-0.419,-1.53,0.333,1,0.667,0.667,0,0,0,0,0,0,-1.278,-1.651
Somalia,NA,NA,SOM,130,2021,0.102,0.084,-1.573,0.357,0.448,-0.175,0.042,-0.45,0.25,0.25,0.25,0.75,0,0.25,0.25,0,0.75,0.25,0.75,0.5,0.25,0.789,-0.3,-1.398,-1.172,-0.548,-0.376,-0.708,-0.456,-0.886,0.016,-0.279,0.814,1.856,0.4,0.6,1,0.4,0.2,0.4,0.2,0.4,0.2,0.2,-0.757,-1.233
Tajikistan,NA,NA,TJK,133,2021,0.048,0.072,-1.162,-1.495,-1.753,-1.32,-1.109,-1.528,0.333,0,0.333,0,0,0,0,0,0.667,0.333,0.667,0.333,0.333,-1.523,-1.157,-1.799,1.468,-2.202,0.818,-2.259,-1.939,-1.547,-1.399,-0.825,-3.079,-0.755,0.6,0.6,0,0,0,0,0,0,0,0.2,-1.827,1.481
Turkmenistan,NA,NA,TKM,136,2021,0.036,0.087,-0.532,-1.701,-1.62,-3.006,-1.847,-2.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.353,-2.423,-3.522,1.852,-3.17,1.325,-3.044,-3.426,-2.445,-3.615,-1.893,-2.621,-3.23,0,0.2,0.2,0,0,0,0,0,0,0.8,-2.093,1.423
Palestine/Gaza,NA,NA,PSG,138,2021,0.058,0.159,-0.753,-0.832,-1.554,-0.265,-1.571,-0.824,0.4,0.2,0.4,0,0.4,0,0,0,0.2,0,0.2,0,0,-0.408,-1.271,-0.667,-0.709,0.534,-1.641,1.291,0.467,-1.547,-1.156,-0.2,-0.364,-0.051,0.25,0.75,0.75,0.5,0,0,0,0,0,0,-1.564,-1.275
Somaliland,NA,NA,SML,139,2021,0.269,0.18,1.589,1.113,0.907,0.868,1.07,-1.286,0.5,0.5,0,0,0,0,0,0,0.5,1,0,0,0,0.137,0.202,-0.673,0.183,-0.006,0.797,-0.202,1.182,-0.763,-0.114,-0.087,-0.469,0.561,0.2,0.8,0.6,0,0.2,0,0.2,0.2,0,0.2,-0.121,0.539
Zanzibar,NA,NA,ZZB,236,2021,0.225,0.248,1.369,0.375,-0.159,-0.062,-0.153,-0.445,0.286,0.571,0.714,0,0.571,0,0,0,0,0.571,0.429,0,0,-0.647,-0.279,-0.453,0.428,0.776,1.657,0.293,0.117,-0.712,-1.155,-0.048,-1.301,-0.619,0.5,0.5,0.5,0.5,0,0,0,0,0,0.25,-1.26,-1.349
