Economy,value_2021,value_2021_perc,country_text_id,country_id,year,v2x_libdem,v2x_egaldem,v2clkill,v2cldiscm,v2cldiscw,v2cseeorgs,v2csreprss,v2csantimv,v2csanmvch_0,v2csanmvch_1,v2csanmvch_2,v2csanmvch_3,v2csanmvch_4,v2csanmvch_5,v2csanmvch_6,v2csanmvch_7,v2csanmvch_8,v2csanmvch_9,v2csanmvch_10,v2csanmvch_11,v2csanmvch_12,v2mecenefi,v2meharjrn,v2smgovdom,v2smgovfilcap,v2smgovfilprc,v2smgovshutcap,v2smgovshut,v2smgovsm,v2smgovsmmon,v2smgovsmcenprc,v2smonex,v2smorgavgact,v2smorgelitact,v2smorgtypes_0,v2smorgtypes_1,v2smorgtypes_2,v2smorgtypes_3,v2smorgtypes_4,v2smorgtypes_5,v2smorgtypes_6,v2smorgtypes_7,v2smorgtypes_8,v2smorgtypes_9,v2smarrest,v2smpolsoc
Kazakhstan,91,0.91,KAZ,121,2021,0.127,0.205,1.145,0.095,0.135,-0.448,-0.098,-0.846,0.167,0,0.5,0,0.333,0.333,0,0,0.5,0.167,0.667,0,0,-1.112,-0.063,-1.622,1.913,-1.593,2.119,-1.105,-1.405,-0.839,-1.212,0.034,0.146,0.1,0.429,0.286,0.857,0.571,0.286,0.143,0,0,0,0,-0.863,0.688
Kenya,29,0.29,KEN,40,2021,0.403,0.316,0.412,2.026,1.333,2.152,0.854,-0.943,0.5,0.667,0.667,0,0.333,0.167,0,0,0.333,0,0.167,0.167,0,1.053,0.869,-0.562,1.221,0.855,0.386,1.355,1.294,-0.535,0.302,0.976,-0.276,-0.33,0.571,1,0.857,0.571,0.143,0,0.143,0,0.143,0,0.325,-0.111
Kiribati,54,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Korea (Rep. of),98,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,100,1,KWT,171,2021,0.29,0.243,1.78,0.28,0.093,-0.147,0.298,-1.374,0.6,0.6,0.4,0,0.2,0,0,0.2,0.2,0,0.2,0,0,-0.486,0.584,-0.605,1.665,-0.4,2.141,0.994,1.481,-0.804,-0.982,1.293,0.38,-0.956,0.833,0.833,0.333,0,0.167,0.167,0,0,0,0,-0.343,-0.666
Kyrgyzstan,78,0.78,KGZ,122,2021,0.257,0.24,2.126,0.813,0.62,0.607,0.292,0.489,0.444,0.333,0.444,0,0.667,0.222,0,0,0,0,0.333,0,0,0.362,0.338,-0.567,-0.717,0.359,0.715,1.417,1.126,0.358,0.54,0.385,1.58,0.172,0.667,0.833,1,0,0.167,0.167,0,0,0,0.167,-0.349,-0.565
Laos,62,0.62,LAO,123,2021,0.099,0.125,-1.779,-2.589,-2.122,-1.394,-1.073,-1.642,0.333,0,0,0.667,0.333,0,0,0.333,1,0,0.333,0,0,-1.407,-2.445,-0.728,-0.744,-0.972,-1.019,0.925,0.766,-1.458,-1.072,-1.329,-2.225,-1.264,0.2,0.4,0.4,0.2,0,0,0,0,0,0.4,-2.028,1.855
Latvia,91,0.91,LVA,84,2021,0.735,0.698,2.421,2.81,2.763,2.533,2.652,-0.449,0.5,0.5,0.5,0,0.5,0,0.5,0,0.25,0,0,0,0,1.733,1.858,2.848,-0.47,2.123,-2.072,1.811,1.759,1.859,2.052,1.335,1.644,1.981,1,0.571,0.714,0.286,0,0,0,0,0,0,2.481,0.342
Lebanon,87,0.87,LBN,44,2021,0.265,0.263,0.567,0.938,0.663,1.534,0.852,0.947,0.444,0.444,0.556,0.333,0.556,0.222,0.556,0.222,0.111,0.111,0.556,0.333,0.333,0.658,0.368,-1.429,0.822,0.259,0.461,-0.611,-0.582,-0.833,-0.906,1.464,2.88,1.5,0.778,0.556,1,0.667,0.333,0.222,0.222,0.222,0,0,-1.107,-1.848
Lesotho,48,0.48,LSO,85,2021,0.505,0.497,0.989,1.659,1.36,1.775,1.135,-1.314,0.25,0.25,0.25,0.25,0.5,0,0,0,0,0,0.25,0,0,1.147,0.135,-0.305,-1.255,0.655,-0.888,1.176,1.071,-0.164,0.109,-0.617,1.163,1.548,0.625,0.625,0.625,0.5,0.25,0.25,0,0.125,0.125,0.125,0.477,-0.922
Liberia,34,0.34,LBR,86,2021,0.461,0.412,1.391,2.251,2.221,2.648,1.924,-0.173,0.5,0.25,0.25,0,0.75,0,0,0,0,0,0,0,0,0.483,0.782,-0.668,0.221,0.716,1.383,0.313,0.761,0.879,0.482,1.225,1.759,0.437,0.5,1,0.75,0,0.25,0,0.25,0,0,0,-0.364,1.055
Liechtenstein,96,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,87,0.87,LTU,173,2021,0.738,0.689,2.883,1.425,1.316,1.436,2.217,-1.147,0.4,0.2,0.6,0,0.2,0.2,0.2,0.4,0,0,0.2,0,0,1.982,2.447,1.916,-0.319,2.51,-1.961,1.773,1.838,2.004,2.036,1.702,0.447,-0.534,0.714,0.571,0.857,0.714,0.056,0,0,0,0,0,2.081,1.137
Luxembourg,99,0.99,LUX,174,2021,0.794,0.821,2.39,2.851,2.052,2.856,2.825,-2.726,0,1,0,0,1,0,0,0,0,0,0,0,0,1.808,2.04,1.263,0.968,2.439,0.663,1.794,1.77,1.644,1.911,1.685,-0.119,-1.815,0.75,0.25,0.75,0.5,0.25,0,0,0,0,0,1.688,1.456
"Macao, China",88,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,20,0.2,MDG,125,2021,0.26,0.218,0.816,0.601,0.929,2.818,1.955,0.832,0.667,0.167,0.5,0,0.667,0.167,0.333,0.5,0.167,0,0.167,0,0,0.53,0.37,-0.596,-1.004,1.138,0.277,0.835,1.151,-0.264,0.859,-1.92,-0.092,1.296,0.8,0.6,0.8,0.4,0.2,0,0,0,0,0,-0.255,-0.889
Malawi,24,0.24,MWI,87,2021,0.536,0.374,1.637,1.805,1.013,1.356,1.415,-1.633,0.333,0,0.667,0.333,0.667,0,0,0,0,0,0.333,0,0,1.045,1,0.027,-0.633,1.455,-0.127,1.017,1.9,-0.259,0.73,-0.588,-0.42,0.03,0.375,0.625,0.875,0.5,0.5,0.125,0,0,0,0.25,0.598,1.365
Malaysia,97,0.97,MYS,177,2021,0.29,0.316,2.498,0.173,0.845,0.919,0.85,1.35,0.6,0,0.6,0,0.6,0.4,0.2,0.4,0.2,0.2,0.4,0,0,0.186,0.426,0.167,0.975,0.5,1.029,1.306,0.587,-0.264,0.097,1.501,1.593,2.029,1,0.6,1,0.2,0,0,0,0,0,0,-0.297,0.174
Maldives,86,0.86,MDV,88,2021,0.441,0.416,1.855,1.841,1.483,0.123,0.669,0.112,0,0.167,0.167,0.167,0.167,0.167,0,0.167,0.167,0.167,0.833,0,0.167,-0.277,1.881,1.075,1.419,-0.147,0.82,0.438,0.158,-0.278,0.352,0.02,0.901,1.837,0.4,0.6,1,0.8,0.2,0,0.2,0,0,0,0.093,-0.549
Mali,34,0.34,MLI,28,2021,0.161,0.183,1.284,1.207,1.088,1.134,0.32,0.527,0,0,0.5,1,0.5,0.5,0.5,0,0.5,0.5,1,0,0.5,-0.178,0.925,1.127,-0.158,-0.296,0.927,-1.309,-1.21,-0.625,-0.148,-1.502,0.347,0.532,0.4,0,0.8,0.4,0,0.2,0.2,0.2,0,0.2,-1.212,-0.751
Malta,87,0.87,MLT,178,2021,0.64,0.688,2.264,1.746,1.799,2.645,2.022,-1.916,1,0.5,0.5,0,0.5,0,0.5,0.5,0,0,0,0,0,1.933,0.555,-0.584,-0.99,1.444,-1.067,1.652,1.686,-0.009,1.815,1.091,1.569,1.839,0.5,0.75,0.5,0.5,0,0,0,0,0,0,1.605,-1.158
Mauritania,59,0.59,MRT,65,2021,0.167,0.125,1.697,0.967,0.86,0.695,0.724,-0.027,0.333,0.667,0.667,0,1,0.333,0.333,0,0.667,0,0.667,0,0,0.385,0.382,-0.379,0.143,0.187,1.541,0.644,0.456,-1.481,-0.226,-0.625,1.195,1.328,0.75,1,0.75,0.25,0,0,0,0,0,0,-1.128,-1.178
Mauritius,68,0.68,MUS,180,2021,0.435,0.426,0.871,0.839,1.413,1.643,1.132,1.491,0.833,0.667,0.333,0.167,0.667,0,0.333,0,0.333,0.167,0.333,0,0,0.694,0.495,-0.789,1.798,0.236,0.439,1.226,0.894,-1.299,-0.569,1.944,1.095,1.84,0.714,0.286,0.857,0.714,0.143,0.143,0,0,0,0.143,-1.023,-0.019
Mexico,76,0.76,MEX,3,2021,0.371,0.331,0.7,1.681,0.972,1.185,0.766,-1.557,0.167,0.167,0.5,0,0.167,0,0.167,0,0,0,0,0,0.333,1.847,0.004,-1.536,-0.311,2.245,-1.579,1.791,1.852,0.4,0.925,0.455,1.397,-1.243,1,0.833,0.833,0,0.167,0,0,0,0,0.167,0.954,-1.639
Micronesia,40,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moldova,61,0.61,MDA,126,2021,0.616,0.573,1.797,1.835,1.653,1.637,2.112,0.901,0.5,0.25,0.25,0,0.75,0.25,0,0.25,0,0.25,0,0,0,1.039,1.766,1.697,0.594,0.551,-0.68,1.725,1.672,1.126,1.729,0.728,1.11,0.129,0.8,0.6,0.8,0.2,0,0,0,0,0,0,1.328,0.23
Monaco,86,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mongolia,84,0.84,MNG,89,2021,0.491,0.431,3.005,2.872,2.723,1.548,0.699,-2.25,0.5,1,0.5,0,1,0,0,0,0,0.5,0,0,0,0.737,1.02,0.58,0.317,1.479,-0.838,1.625,1.851,1.393,1.151,0.552,1.492,0.34,0.6,0.8,1,0.4,0.2,0,0,0,0,0,0.911,0.184
Montenegro,82,0.82,MNE,183,2021,0.41,0.411,2.319,2.074,1.509,2.004,1.404,-0.809,0.6,0,0.2,0.2,0.4,0.2,0,0.2,0.2,0,0,0,0,1.423,0.721,-0.502,-0.567,1.866,-1.742,1.694,1.484,-0.266,0.987,1.029,0.321,0.053,0.8,0.6,1,0.4,0,0,0,0,0,0.2,0.677,-2.475
Morocco,88,0.88,MAR,90,2021,0.24,0.209,1.726,-0.033,0.97,-0.123,-0.541,0.054,0.667,0.333,0.667,0,0.667,0,0,0,0,0,0.333,0,0,0.775,0.698,-0.843,1.012,-0.665,0.255,-1.056,-1.242,-0.89,-0.689,0.262,0.524,-0.009,0.6,0.8,0.8,0.4,0,0.2,0.2,0,0,0,-1.001,1.175
Mozambique,17,0.17,MOZ,57,2021,0.237,0.234,0.032,0.582,0.351,1.206,0.397,-0.155,0.4,0.6,0.6,0.4,0.6,0.2,0,0,0,0.4,0.4,0.2,0.2,0.809,0.296,-0.485,-0.725,1.155,1.313,1.836,1.803,0.521,0.926,-0.405,-0.554,0.386,0.429,0.429,0.429,0.143,0,0.143,0.143,0.571,0,0.143,0.536,-0.918
Burma/Myanmar,44,0.44,MMR,10,2021,0.05,0.066,-1.861,-2.137,-2.46,-1.379,-1.317,3.172,0.25,0,0.5,0.75,0.75,0.25,0,0,0.5,0,0.25,0,0.25,-2.061,-1.534,-2.988,1.757,-1.344,1.991,-2.556,-2.945,-2.188,-2.963,-0.442,1.083,0.945,0.5,0,0.833,0.5,0,0.5,0,0,0,0,-2.92,-1.684
Namibia,53,0.53,NAM,127,2021,0.513,0.344,2.395,1.485,1.503,2.534,2.477,-0.756,0.25,0.5,0.75,0,0.5,0,0.5,0,0,0.25,0,0,0,1.433,1.02,0.216,0.393,1.873,2.131,1.341,1.752,-0.249,1.272,-0.022,1.004,1.508,0.75,0.75,1,0.5,0,0,0,0,0,0,1.187,0.361
Nauru,84,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nepal,52,0.52,NPL,58,2021,0.478,0.383,0.838,1.309,1.33,1.605,1.308,-0.438,0.4,0.4,0.3,0.2,0.5,0.2,0.3,0,0.4,0.4,0.4,0.1,0.2,0.703,1.265,-0.904,0.571,-0.348,-0.229,-0.255,-0.384,-0.21,-1.15,-0.308,0.402,0.151,0.625,0.625,0.875,0.75,0.5,0.125,0.375,0.125,0,0,-0.522,-2.088
Netherlands,92,0.92,NLD,91,2021,0.81,0.783,2.501,2.234,1.832,1.998,2.528,-0.663,0.25,1,0.5,0,0.5,0.5,0,0.75,0.25,0,0.25,0,0.25,2.057,1.784,1.746,-0.151,2.307,-1.025,1.828,1.903,1.167,2.151,2.485,2.388,2.219,1,0.833,1,0.5,0.5,0.167,0.167,0,0,0,1.636,-0.223
New Zealand,96,0.96,NZL,185,2021,0.827,0.783,3.251,2.979,3.032,2.561,2.602,-1.355,0.5,0.5,1,0.5,0.5,0,0.5,0,0.5,0,0,0,0,1.96,2.127,2.098,0.767,1.105,0.7,1.74,1.777,0.634,1.516,1.899,1.41,3.157,0.8,1,0.8,0.4,0.2,0,0,0,0,0.2,2.483,0.78
Nicaragua,57,0.57,NIC,59,2021,0.037,0.094,-1.361,-2.679,-1.909,-1.987,-2.247,0.109,0.143,0.143,0.286,0,0.857,0.143,0.143,0.143,0.143,0,0.143,0,0,-2.478,-1.436,-3.275,2.148,-3.159,0.286,-1.224,-1.594,-2.273,-2.309,-0.61,0.864,-0.264,0.25,0.5,0.75,0.25,0.5,0.25,0,0,0,0,-2.57,-1.384
Niger,22,0.22,NER,60,2021,0.398,0.358,1.563,1.288,1.569,1.567,1.256,0.349,0.5,0.5,0.167,0.167,0.333,0.167,0,0,0,0,0.167,0,0.167,0.222,1.138,-0.711,-0.889,-0.549,0.291,-0.454,-0.7,0.415,0.06,-0.015,-0.467,0.353,0.5,0.5,0.667,0.333,0.167,0.167,0.167,0.167,0,0,-1.006,-0.576
Nigeria,55,0.55,NGA,45,2021,0.329,0.266,-0.514,1.276,1.376,1.415,0.523,1.874,0.357,0.071,0.286,0.429,0.429,0.214,0,0,0.429,0.5,0.357,0.214,0.286,0.178,0.236,0.375,0.372,-0.711,-0.374,1.015,0.562,-0.895,0.317,1.737,1.367,0.56,0.7,0.9,0.8,0.5,0.3,0.2,0.1,0.2,0,0,-1.115,-1.659
North Macedonia,83,0.83,MKD,176,2021,0.389,0.388,2.275,0.986,1.109,1.677,2.505,-0.9,0.5,0.5,0.125,0,0.5,0.375,0.375,0.125,0.375,0.25,0.125,0,0,1.711,0.853,-0.189,-0.754,0.637,-0.785,1.636,1.748,-0.491,0.836,0.687,0.659,0.644,0.9,1,0.9,0.7,0.3,0.1,0.1,0.1,0,0,1.153,-1.47
Norway,99,0.99,NOR,186,2021,0.86,0.862,3.237,2.315,1.572,2.974,2.779,-2.166,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0,0,0,0,0,2.002,2.963,2.597,-0.819,2.383,-0.893,1.579,1.881,2.073,2.016,2.084,1.309,1.545,1,1,0.667,0.333,0,0,0,0,0,0,2.629,0.899
Oman,96,0.96,OMN,187,2021,0.138,0.185,1.327,-0.634,-0.866,-1.145,-0.984,-1.23,0.75,0.5,0.25,0,1,0,0.25,0.25,0.5,0,0.5,0,0,-1.714,-1.198,-0.277,0.98,-2.094,1.236,-0.55,-0.59,-1.788,-1.357,0.144,-0.654,-2.269,0.6,0.2,0.4,0.4,0,0,0,0,0,0.2,-1.693,1.576
Pakistan,21,0.21,PAK,29,2021,0.266,0.182,-0.093,0.462,0.589,1.093,0.235,-0.064,0.143,0.571,0.571,0.143,0.286,0,0.143,0.571,0.286,0.143,0.429,0,0,-1.153,-0.971,-1.18,0.92,-1.348,1.805,-0.341,0.041,-1.299,-0.491,-0.367,-0.192,0.765,0.5,0.625,0.875,0.5,0.375,0,0.5,0,0.125,0.125,-0.242,-0.646
Panama,68,0.68,PAN,92,2021,0.552,0.45,2.545,2.233,1.827,1.642,1.709,-1.012,0.667,0.333,1,0,0.667,0,0.333,0,0,0,0,0,0,1.983,1.222,0.98,-0.137,0.923,-0.738,1.76,1.772,1.338,1.504,2.604,1.523,0.137,0.667,0.833,0.833,0.5,0,0,0,0,0,0,1.644,0.805
Papua New Guinea,32,0.32,PNG,93,2021,0.342,0.239,1.502,1.627,1.3,2.579,2.236,-1.535,1,0.5,0,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0,1.708,0.548,1.162,-1.598,1.653,-0.944,1.282,1.435,0.722,1.216,-0.881,-0.319,-0.864,0.75,0.5,1,0.5,0,0,0.25,0,0,0.25,1.744,1.316
Paraguay,77,0.77,PRY,189,2021,0.43,0.253,1.542,1.397,1.165,1.797,1.165,-0.806,0,0,0,0,0,0,1,0,0.5,0,0,0.5,0.5,1.311,0.242,0.01,-2.421,2.051,-2.039,1.476,1.677,1.824,1.753,0.046,1.317,-0.408,0.833,0.667,1,0.5,0.167,0.333,0,0,0,0,1.064,0.852
Peru,71,0.71,PER,30,2021,0.661,0.5,2.401,2.457,1.578,2.078,1.904,-0.09,0.2,0.6,1,0,0.2,0.4,0.2,0.4,0,0,0.2,0,0,1.111,0.79,0.311,-0.613,1.865,-1.133,1.401,1.468,2.075,1.511,1.721,0.414,0.385,0.5,0.75,1,0.75,0.25,0,0.25,0,0,0,2.168,-1.468
Philippines,53,0.53,PHL,46,2021,0.28,0.187,-1.076,0.255,0.021,1.486,0.215,0.758,0.333,0.833,1,0.333,0.667,0.333,0.833,0.167,0.333,0.833,0.333,0.5,0.333,0.742,-0.775,-2.095,-0.83,0.472,-1.363,-0.206,0.121,-1.336,0.256,-0.015,-0.28,0.791,1,0.6,1,0.4,0,0,0,0.2,0,0,-0.635,-0.875
Poland,85,0.85,POL,17,2021,0.425,0.496,2.322,1.703,1.168,1.009,0.714,0.224,0.333,0.556,0.222,0,0.667,0.222,0.222,0.444,0,0,0.111,0.111,0,1.566,0.604,-0.892,-0.717,1.703,-0.646,1.835,1.868,0.776,1.654,0.368,2.199,2.089,1,0.143,1,0.571,0.143,0,0,0,0,0,1.4,-2.505
Portugal,82,0.82,PRT,21,2021,0.813,0.766,2.406,3.228,1.971,2.081,2.848,-0.534,0.556,0.778,0.333,0.111,0.333,0.222,0,0.556,0,0,0,0,0,2.196,2.747,2.419,-0.909,2.42,-1.377,1.928,1.988,2.719,2.257,1.823,0.876,0.019,0.875,0.625,1,0.625,0,0,0,0,0,0,2.967,-0.153
Qatar,100,1,QAT,94,2021,0.086,0.103,1.783,-1.706,-1.905,-1.258,-0.483,-3.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.738,-1.463,-0.457,2.313,-1.923,2.025,-0.767,-0.596,-3.138,-1.61,1.109,-1.568,-0.418,0.75,0.375,0.25,0.125,0,0,0.125,0,0,0.25,-1.961,3.885
Romania,84,0.84,ROU,190,2021,0.611,0.548,3.159,2.855,2.459,1.732,2.457,-0.049,0.6,1,0.4,0,0.4,0.2,0,0.4,0,0,0,0,0,2.084,1.243,1.77,-0.02,1.564,-1.425,1.013,1.76,1.053,1.549,0.641,0.761,-0.128,0.833,0.5,0.833,0.667,0,0.167,0.167,0,0,0,1.453,-0.452
Russian Federation,88,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rwanda,30,0.3,RWA,129,2021,0.119,0.21,-1.809,-1.475,-0.428,-0.82,-0.591,-1.72,0,0,0.25,0,0.5,0,0,0,0.25,0,0,0,0,-0.459,-1.343,-0.127,1.906,-1.566,0.357,0.69,-0.238,-1.792,-1.419,-0.257,-3.103,-0.901,0.571,0.571,0.286,0,0.286,0,0,0.143,0.429,0.286,-1.303,2.876
Saint Kitts and Nevis,79,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Lucia,78,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Vincent and the Grenadines,85,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samoa,78,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Marino,75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,51,0.51,STP,196,2021,0.584,0.494,2.273,2.164,1.638,1.296,1.961,-2.334,1,1,1,0,1,0,0,0,0,0,0,0,0,1.282,1.891,1.851,-1.494,1.91,-1.002,0.966,1.202,1.42,1.42,-0.348,-1.412,-1.693,0.667,0.5,0.667,0.167,0,0,0,0,0,0,0.118,1.325
Saudi Arabia,100,1,SAU,197,2021,0.044,0.112,-1.168,-1.258,-1.273,-1.845,-1.062,-1.571,0,0,0.5,0.5,0.5,0,0,0,1,0,1,0,0,-1.071,-2.137,-2.009,2.401,-2.642,0.972,-1.325,-1.733,-3.385,-1.261,1.749,-0.909,-1.001,0.6,0.2,0.2,0,0.2,0,0,0,0,0.4,-1.977,1.369
Senegal,58,0.58,SEN,31,2021,0.566,0.54,1.992,2.223,1.727,2.456,1.687,0.028,0.667,0.167,0,0,0.667,0,0,0,0,0.333,0.167,0.167,0.167,1.438,1.125,1.178,1.203,0.818,-0.156,1.307,1.899,-0.23,0.721,1.02,0.978,0.777,1,1,0.8,0.6,0.2,0,0,0,0,0,-0.746,0.322
Serbia,81,0.81,SRB,198,2021,0.243,0.306,1.481,1.368,1.14,1.072,0.576,0.235,0.667,0.444,0.444,0.222,0.556,0.111,0.111,0.333,0.222,0.222,0.222,0.222,0.222,1.008,-0.169,-1.652,-0.112,0.548,-0.836,1.306,1.277,-0.343,0.587,1.582,2.102,0.839,1,0.667,1,0.444,0.333,0.111,0.111,0,0,0,0.439,-1.67
Seychelles,82,0.82,SYC,199,2021,0.64,0.582,1.595,2.152,1.723,1.221,1.169,-0.798,0,0,0,0,1,0,0,0,0,0,0,0,0,0.065,2.115,1.908,0.359,0.66,0.929,1.002,1.004,0.614,1.359,0.908,-0.611,0.993,0.5,0.25,0.25,0,0,0.25,0,0,0,0,0.512,1.385
Singapore,91,0.91,SGP,200,2021,0.345,0.366,2.951,0.746,0.675,-0.444,0.228,-1.989,1,1,0,0,1,0,0,0,0,0,0,0,0,-0.102,-0.418,0.79,1.863,-0.433,2.254,1.387,1.524,-0.693,-0.649,1.317,-1.884,-1.069,0.75,0.25,0,0,0,0,0,0,0,0.5,-0.981,1.27
Slovakia,89,0.89,SVK,201,2021,0.778,0.696,2.115,2.467,2.487,1.512,1.657,-0.295,0.714,0.857,0.571,0,0.143,0.571,0.286,1,0.143,0,0.286,0.429,0,1.317,1.822,1.649,-1.743,1.574,-2.558,1.988,2.043,2.356,2.22,1.766,2.163,1.899,1,0.6,1,0.2,0.1,0,0.1,0,0,0,2.088,-1.24
Slovenia,89,0.89,SVN,202,2021,0.599,0.563,2.908,0.864,0.85,1.278,0.699,1.025,0.429,0.714,0.286,0,0.571,0.571,0.714,0.286,0,0,0,0.143,0,2.175,0.581,-0.802,-1.227,2.295,-2.038,1.821,1.867,1.425,2.029,0.671,1.882,0.036,1,0.667,1,0.667,0.5,0,0,0,0,0,1.921,-2.22
Solomon Islands,36,0.36,SLB,203,2021,0.475,0.348,1.769,1.562,1.122,1.92,1.892,-0.537,0.667,0.667,0,0,0.667,0,0,0,0.333,0.667,0,0,0,0.747,1.295,0.676,-1.669,1.735,-2.096,1.053,1.407,1.163,0.51,-0.561,-0.342,-0.992,0.5,1,0.75,0.5,0.25,0,0,0,0,0,1.672,1.141
South Africa,72,0.72,ZAF,8,2021,0.582,0.49,0.585,1.422,1.494,2.64,1.226,-0.574,0.4,0.4,0.4,0.4,0,0,0.4,0,0.2,0,0,0,0,1.462,1.077,1.187,0.106,1.507,-0.002,0.882,1.648,0.821,2.016,1.461,1.275,0.827,0.667,0.667,0.667,0.5,0.667,0.333,0.333,0,0,0.167,1.265,-0.828
Spain,94,0.94,ESP,96,2021,0.779,0.753,3.118,1.616,1.782,2.48,2.871,-0.293,0.091,0.364,0.364,0.364,0.091,0.455,0.182,0.182,0.091,0.455,0,0,0,1.325,1.671,1.393,0.759,1.73,1.073,2.002,1.29,1.503,1.422,0.975,1.496,2.12,0.778,0.667,1,0.889,0.667,0.333,0,0,0,0.111,2.268,-2.153
Sri Lanka,67,0.67,LKA,131,2021,0.382,0.376,0.47,0.873,0.765,0.063,-0.573,0.127,0.6,0.6,0.4,0,0.8,0,0.4,0.2,0.4,0,0.4,0.2,0,-0.116,0.672,-1.654,0.313,-0.341,1.047,0.503,1.629,-0.545,-0.069,0.211,0.17,-0.015,0.667,0.5,0.833,0.667,0,0,0,0,0,0.167,-0.208,-0.108
Suriname,66,0.66,SUR,4,2021,0.623,0.548,2.021,2.286,1.871,2.882,2.699,-1.315,0.5,0,1,0,1,0,0,0,0.5,0,0.5,0,0,1.343,0.261,0.473,-0.876,1.314,-0.547,1.72,1.734,0.868,1.248,1.232,0.236,0.649,1,0.4,1,0.6,0,0.2,0,0,0,0,0.414,0.404
